[2025-10-03T14:09:31] [INFO] Game Logger initialized - Log file: logs/game_log_2025-10-03T14-09-31.log
[2025-10-03T14:09:31] [INFO] Log level updated to: 3
[2025-10-03T14:09:31] [INFO] SplashScreen: ===== SPLASH SCREEN STARTING =====
[2025-10-03T14:09:31] [INFO] SplashScreen: Animations setup complete
[2025-10-03T14:09:31] [INFO] SplashScreen: Starting splash sequence
[2025-10-03T14:09:35] [INFO] SplashScreen: Splash sequence completed
[2025-10-03T14:09:36] [INFO] SplashScreen: Fade out completed, transitioning to main menu
[2025-10-03T14:09:36] [INFO] SplashScreen: Transitioning to main menu: res://Scenes/MainMenu/MainMenu.tscn
[2025-10-03T14:09:36] [INFO] SplashScreen: Successfully transitioned to main menu
[2025-10-03T14:09:36] [INFO] 🚀 MainMenuController _ready() called
[2025-10-03T14:09:36] [INFO] ℹ️ Exit Game button signal already connected
[2025-10-03T14:09:36] [INFO] ✅ MainMenuController initialization completed
[2025-10-03T14:09:37] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:09:38] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:09:38] [INFO] 🎭 Topeng Nusantara button pressed - navigating to mask selection
[2025-10-03T14:09:38] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:09:38] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:09:39] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:09:39] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:09:40] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:09:40] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:21] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:21] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:22] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:22] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:22] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:23] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:26] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:26] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:26] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:26] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:10:27] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
